candidate_count,instance_index,instance_seed,solver,reward,optimal_reward,optimality_gap_percent,travel_minutes,service_minutes,total_minutes,time_budget,visited_count,feasible,runtime_ms,route
8,7,80049,exact_dynamic_programming,20.0751,20.0751,0.0,47.7278,38.0,85.7278,90.0,3,True,0.3913,0 -> 1 -> 6 -> 7 -> 9
8,7,80049,greedy_reward_per_minute,14.4919,20.0751,27.8116,46.0263,26.0,72.0263,90.0,2,True,0.017,0 -> 6 -> 7 -> 9
8,7,80049,nearest,16.6882,20.0751,16.8711,42.9466,30.0,72.9466,90.0,3,True,0.0126,0 -> 1 -> 6 -> 3 -> 9
8,8,80050,exact_dynamic_programming,25.6181,25.6181,0.0,40.8612,48.0,88.8612,90.0,4,True,0.4075,0 -> 5 -> 8 -> 1 -> 3 -> 9
8,8,80050,greedy_reward_per_minute,22.6095,25.6181,11.744,42.9508,38.0,80.9508,90.0,3,True,0.0202,0 -> 8 -> 1 -> 2 -> 9
8,8,80050,nearest,22.0048,25.6181,14.1045,43.3469,45.0,88.3469,90.0,4,True,0.0137,0 -> 5 -> 6 -> 8 -> 1 -> 9
8,9,80051,exact_dynamic_programming,22.364,22.364,0.0,41.0485,45.0,86.0485,90.0,3,True,0.3987,0 -> 5 -> 7 -> 6 -> 9
8,9,80051,greedy_reward_per_minute,18.1997,22.364,18.6206,39.617,42.0,81.617,90.0,3,True,0.0187,0 -> 7 -> 6 -> 2 -> 9
8,9,80051,nearest,20.7151,22.364,7.373,34.1689,42.0,76.1689,90.0,3,True,0.0126,0 -> 8 -> 7 -> 6 -> 9
10,0,100042,exact_dynamic_programming,22.0887,22.0887,0.0,45.4098,43.0,88.4098,90.0,3,True,1.4538,0 -> 2 -> 3 -> 7 -> 11
10,0,100042,greedy_reward_per_minute,19.431,22.0887,12.0319,41.891,35.0,76.891,90.0,3,True,0.0239,0 -> 4 -> 3 -> 5 -> 11
10,0,100042,nearest,15.8548,22.0887,28.2221,51.2767,28.0,79.2767,90.0,3,True,0.0144,0 -> 4 -> 2 -> 9 -> 11
10,1,100043,exact_dynamic_programming,21.1586,21.1586,0.0,51.1117,38.0,89.1117,90.0,4,True,1.4572,0 -> 2 -> 3 -> 6 -> 5 -> 11
10,1,100043,greedy_reward_per_minute,15.4716,21.1586,26.878,52.4284,26.0,78.4284,90.0,3,True,0.0217,0 -> 2 -> 5 -> 6 -> 11
10,1,100043,nearest,13.6864,21.1586,35.3152,51.1147,38.0,89.1147,90.0,3,True,0.0136,0 -> 4 -> 9 -> 2 -> 11
10,2,100044,exact_dynamic_programming,18.737,18.737,0.0,61.2334,26.0,87.2334,90.0,3,True,1.3974,0 -> 6 -> 2 -> 7 -> 11
10,2,100044,greedy_reward_per_minute,13.0999,18.737,30.0854,55.2592,18.0,73.2592,90.0,2,True,0.0165,0 -> 2 -> 6 -> 11
10,2,100044,nearest,14.4634,18.737,22.8083,43.8976,33.0,76.8976,90.0,3,True,0.015,0 -> 8 -> 6 -> 2 -> 11
10,3,100045,exact_dynamic_programming,23.4648,23.4648,0.0,40.3295,40.0,80.3295,90.0,4,True,1.7429,0 -> 8 -> 2 -> 9 -> 3 -> 11
10,3,100045,greedy_reward_per_minute,23.4648,23.4648,0.0,42.7478,40.0,82.7478,90.0,4,True,0.0255,0 -> 8 -> 3 -> 9 -> 2 -> 11
10,3,100045,nearest,15.6511,23.4648,33.2997,41.2851,43.0,84.2851,90.0,4,True,0.0163,0 -> 1 -> 4 -> 5 -> 8 -> 11
10,4,100046,exact_dynamic_programming,23.99,23.99,0.0,39.3057,48.0,87.3057,90.0,3,True,1.5459,0 -> 6 -> 3 -> 2 -> 11
10,4,100046,greedy_reward_per_minute,18.658,23.99,22.2259,32.5064,38.0,70.5064,90.0,3,True,0.021,0 -> 3 -> 10 -> 2 -> 11
10,4,100046,nearest,13.5935,23.99,43.3368,44.2892,38.0,82.2892,90.0,3,True,0.0138,0 -> 5 -> 4 -> 6 -> 11
10,5,100047,exact_dynamic_programming,21.254,21.254,0.0,47.7857,36.0,83.7857,90.0,4,True,1.9939,0 -> 6 -> 4 -> 9 -> 2 -> 11
10,5,100047,greedy_reward_per_minute,16.0465,21.254,24.5013,59.4655,24.0,83.4655,90.0,3,True,0.0247,0 -> 6 -> 2 -> 9 -> 11
10,5,100047,nearest,19.2912,21.254,9.235,34.7765,50.0,84.7765,90.0,4,True,0.0169,0 -> 8 -> 6 -> 5 -> 1 -> 11
10,6,100048,exact_dynamic_programming,30.4993,30.4993,0.0,44.4203,41.0,85.4203,90.0,4,True,1.6607,0 -> 3 -> 6 -> 7 -> 4 -> 11
10,6,100048,greedy_reward_per_minute,23.9932,30.4993,21.332,38.0123,33.0,71.0123,90.0,3,True,0.0259,0 -> 3 -> 6 -> 4 -> 11
10,6,100048,nearest,28.2888,30.4993,7.2477,40.2678,47.0,87.2678,90.0,4,True,0.0171,0 -> 3 -> 6 -> 9 -> 8 -> 11
10,7,100049,exact_dynamic_programming,27.0518,27.0518,0.0,43.3688,45.0,88.3688,90.0,4,True,1.7859,0 -> 1 -> 2 -> 9 -> 8 -> 11
10,7,100049,greedy_reward_per_minute,21.6726,27.0518,19.8848,49.7467,40.0,89.7467,90.0,4,True,0.027,0 -> 1 -> 8 -> 9 -> 7 -> 11
10,7,100049,nearest,15.0838,27.0518,44.241,40.9193,41.0,81.9193,90.0,3,True,0.0145,0 -> 4 -> 1 -> 10 -> 11
10,8,100050,exact_dynamic_programming,18.6378,18.6378,0.0,45.2603,44.0,89.2603,90.0,4,True,1.5545,0 -> 3 -> 2 -> 7 -> 1 -> 11
10,8,100050,greedy_reward_per_minute,15.4502,18.6378,17.1029,34.8944,36.0,70.8944,90.0,3,True,0.0224,0 -> 2 -> 7 -> 1 -> 11
10,8,100050,nearest,6.942,18.6378,62.7531,46.5289,31.0,77.5289,90.0,3,True,0.0146,0 -> 3 -> 6 -> 10 -> 11
10,9,100051,exact_dynamic_programming,18.7439,18.7439,0.0,48.6849,34.0,82.6849,90.0,4,True,1.5351,0 -> 1 -> 4 -> 5 -> 6 -> 11
10,9,100051,greedy_reward_per_minute,13.31,18.7439,28.9902,64.914,25.0,89.914,90.0,2,True,0.0182,0 -> 8 -> 5 -> 11
10,9,100051,nearest,11.7293,18.7439,37.4234,50.7223,39.0,89.7223,90.0,3,True,0.0144,0 -> 2 -> 10 -> 7 -> 11
