scenario_index,start,destination,preference,time_budget,solver,reward,optimal_reward,optimality_gap_percent,travel_minutes,study_minutes,total_minutes,visited_count,feasible,study_plan,deadline_slack_minutes,direct_travel_minutes,walking_detour_minutes,walking_detour_percent,runtime_ms,runtime_mean_ms,runtime_p95_ms,runtime_std_ms,timing_repeats,order_seed,route
18,Rodin College House,Moore School Building,Quiet,90.0,greedy_reward_per_minute,28.8,28.8,0.0,15.2752,70.0,85.2752,3,True,True,4.7248,12.2657,3.0095,24.5359,0.0156,0.0157,0.016,0.0002,10,2026,Rodin College House -> Van Pelt Library -> Fisher Fine Arts Library -> Levine Hall -> Moore School Building
18,Rodin College House,Moore School Building,Quiet,90.0,nearest,26.6,28.8,7.6389,15.5778,70.0,85.5778,3,True,True,4.4222,12.2657,3.3121,27.0029,0.0116,0.0116,0.0122,0.0003,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Fisher Fine Arts Library -> Moore School Building
19,Rodin College House,Moore School Building,Collaborative,45.0,exact_dynamic_programming,10.8,10.8,0.0,12.7948,20.0,32.7948,1,True,True,12.2052,12.2657,0.5291,4.3137,0.1434,0.1477,0.1842,0.0129,10,2026,Rodin College House -> Huntsman Hall -> Moore School Building
19,Rodin College House,Moore School Building,Collaborative,45.0,greedy_reward_per_minute,10.8,10.8,0.0,12.7948,20.0,32.7948,1,True,True,12.2052,12.2657,0.5291,4.3137,0.0093,0.0093,0.0096,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Moore School Building
19,Rodin College House,Moore School Building,Collaborative,45.0,nearest,10.8,10.8,0.0,12.7948,20.0,32.7948,1,True,True,12.2052,12.2657,0.5291,4.3137,0.007,0.0071,0.0075,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Moore School Building
20,Rodin College House,Moore School Building,Collaborative,60.0,exact_dynamic_programming,21.4,21.4,0.0,17.1388,40.0,57.1388,2,True,True,2.8612,12.2657,4.8731,39.7295,0.157,0.1579,0.1626,0.0021,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Moore School Building
20,Rodin College House,Moore School Building,Collaborative,60.0,greedy_reward_per_minute,21.4,21.4,0.0,17.1388,40.0,57.1388,2,True,True,2.8612,12.2657,4.8731,39.7295,0.0126,0.0129,0.0143,0.0007,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Moore School Building
20,Rodin College House,Moore School Building,Collaborative,60.0,nearest,17.8,21.4,16.8224,13.8432,45.0,58.8432,2,True,True,1.1568,12.2657,1.5775,12.8611,0.009,0.0091,0.0102,0.0004,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Moore School Building
21,Rodin College House,Moore School Building,Collaborative,90.0,exact_dynamic_programming,30.4,30.4,0.0,17.5958,60.0,77.5958,3,True,True,12.4042,12.2657,5.3301,43.4553,0.2516,0.2526,0.26,0.0033,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Levine Hall -> Moore School Building
21,Rodin College House,Moore School Building,Collaborative,90.0,greedy_reward_per_minute,30.4,30.4,0.0,17.5958,60.0,77.5958,3,True,True,12.4042,12.2657,5.3301,43.4553,0.0168,0.0171,0.0192,0.001,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Levine Hall -> Moore School Building
21,Rodin College House,Moore School Building,Collaborative,90.0,nearest,22.6,30.4,25.6579,15.5778,70.0,85.5778,3,True,True,4.4222,12.2657,3.3121,27.0029,0.0109,0.0109,0.011,0.0001,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Fisher Fine Arts Library -> Moore School Building
22,Rodin College House,Moore School Building,Coffee nearby,45.0,exact_dynamic_programming,10.6,10.6,0.0,14.9343,20.0,34.9343,1,True,True,10.0657,12.2657,2.6686,21.7566,0.144,0.1456,0.1519,0.0033,10,2026,Rodin College House -> Houston Hall -> Moore School Building
22,Rodin College House,Moore School Building,Coffee nearby,45.0,greedy_reward_per_minute,10.6,10.6,0.0,14.9343,20.0,34.9343,1,True,True,10.0657,12.2657,2.6686,21.7566,0.0106,0.0163,0.0607,0.0158,10,2026,Rodin College House -> Houston Hall -> Moore School Building
22,Rodin College House,Moore School Building,Coffee nearby,45.0,nearest,8.8,10.6,16.9811,12.7948,20.0,32.7948,1,True,True,12.2052,12.2657,0.5291,4.3137,0.0071,0.0071,0.0073,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Moore School Building
23,Rodin College House,Moore School Building,Coffee nearby,60.0,exact_dynamic_programming,19.4,19.4,0.0,17.1388,40.0,57.1388,2,True,True,2.8612,12.2657,4.8731,39.7295,0.157,0.1624,0.1931,0.0124,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Moore School Building
23,Rodin College House,Moore School Building,Coffee nearby,60.0,greedy_reward_per_minute,17.6,19.4,9.2784,15.3913,40.0,55.3913,2,True,True,4.6087,12.2657,3.1256,25.4824,0.0115,0.0115,0.0116,0.0001,10,2026,Rodin College House -> Houston Hall -> Levine Hall -> Moore School Building
23,Rodin College House,Moore School Building,Coffee nearby,60.0,nearest,15.8,19.4,18.5567,13.8432,45.0,58.8432,2,True,True,1.1568,12.2657,1.5775,12.8611,0.0089,0.0094,0.0138,0.0016,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Moore School Building
24,Rodin College House,Moore School Building,Coffee nearby,90.0,exact_dynamic_programming,26.4,26.4,0.0,17.5958,60.0,77.5958,3,True,True,12.4042,12.2657,5.3301,43.4553,0.2486,0.2494,0.2576,0.0032,10,2026,Rodin College House -> Huntsman Hall -> Houston Hall -> Levine Hall -> Moore School Building
24,Rodin College House,Moore School Building,Coffee nearby,90.0,greedy_reward_per_minute,26.4,26.4,0.0,29.4983,60.0,89.4983,3,True,True,0.5017,12.2657,17.2326,140.4942,0.0163,0.0163,0.0165,0.0002,10,2026,Rodin College House -> Houston Hall -> Levine Hall -> Huntsman Hall -> Moore School Building
24,Rodin College House,Moore School Building,Coffee nearby,90.0,nearest,20.6,26.4,21.9697,15.5778,70.0,85.5778,3,True,True,4.4222,12.2657,3.3121,27.0029,0.0108,0.0108,0.0111,0.0002,10,2026,Rodin College House -> Huntsman Hall -> Van Pelt Library -> Fisher Fine Arts Library -> Moore School Building
25,Rodin College House,Moore School Building,Power outlets,45.0,exact_dynamic_programming,11.0,11.0,0.0,13.5141,20.0,33.5141,1,True,True,11.4859,12.2657,1.2484,10.178,0.1441,0.1437,0.1452,0.0014,10,2026,Rodin College House -> Levine Hall -> Moore School Building
25,Rodin College House,Moore School Building,Power outlets,45.0,greedy_reward_per_minute,11.0,11.0,0.0,13.5141,20.0,33.5141,1,True,True,11.4859,12.2657,1.2484,10.178,0.0094,0.0096,0.0112,0.0006,10,2026,Rodin College House -> Levine Hall -> Moore School Building
25,Rodin College House,Moore School Building,Power outlets,45.0,nearest,8.8,11.0,20.0,12.7948,20.0,32.7948,1,True,True,12.2052,12.2657,0.5291,4.3137,0.0071,0.0071,0.0074,0.0001,10,2026,Rodin College House -> Huntsman Hall -> Moore School Building
26,Rodin College House,Moore School Building,Power outlets,60.0,exact_dynamic_programming,22.0,22.0,0.0,13.9683,45.0,58.9683,2,True,True,1.0317,12.2657,1.7026,13.881,0.157,0.1571,0.1624,0.0022,10,2026,Rodin College House -> Van Pelt Library -> Levine Hall -> Moore School Building
